Site,LICOR_number,Patch,CO2_Flux,CO2_Flux_cell,CO2_Flux_chl.a,Temp_aq,Light,Volume,Cell_count,Chl.a,CO2_sample,CO2_reference,H2O_sample,H2O_reference,CO2_a,H2O_a,Flow,Light,CO2_match_time,H2O_match_time
Black_Peak,LI_15,Patch_1,0.000446945,2.20714E-10,0.001475066,4.00568,3000.38,15,"135,000",0.0202,419.958,421.269,7.31299,6.8541,421.112,7.33622,400.178,3000.38,4.2,20.3
Black_Peak,LI_15,Patch_1,0.000411632,2.03275E-10,0.001358521,3.98401,2500.4,15,"135,000",0.0202,420.057,421.284,7.32126,6.85314,421.211,7.34443,400.065,2500.4,8.2,24.4
Black_Peak,LI_15,Patch_1,0.000452692,2.23552E-10,0.001494033,3.91588,1999.67,15,"135,000",0.0202,419.953,421.291,7.27756,6.78992,421.107,7.30107,400.006,1999.67,12.2,28.4
Black_Peak,LI_15,Patch_1,0.000438063,2.16327E-10,0.001445752,3.8912,1499.88,15,"135,000",0.0202,420.029,421.328,7.25631,6.77455,421.093,7.27887,399.996,1499.88,2.1,2.1
Black_Peak,LI_15,Patch_1,0.000463506,2.28892E-10,0.001529724,3.86613,1199.55,15,"135,000",0.0202,419.907,421.27,7.24468,6.76177,420.972,7.26732,400.008,1199.55,6.1,6.1
Black_Peak,LI_15,Patch_1,0.000392342,1.93749E-10,0.001294859,3.84709,899.911,15,"135,000",0.0202,420.017,421.197,7.22237,6.75148,421.081,7.24518,400.031,899.911,10.2,10.2
Black_Peak,LI_15,Patch_1,0.000362777,1.79149E-10,0.001197284,3.82304,600.124,15,"135,000",0.0202,419.971,421.072,7.21415,6.75571,421.036,7.23703,399.944,600.124,14.2,14.2
Black_Peak,LI_15,Patch_1,0.000307731,1.51966E-10,0.001015615,3.77386,299.973,15,"135,000",0.0202,420.015,420.975,7.2111,6.76006,421.158,7.23367,400.077,299.973,2.8,2.9
Black_Peak,LI_15,Patch_1,0.000165017,8.14899E-11,0.000544611,3.76059,99.8355,15,"135,000",0.0202,419.864,420.462,7.20446,6.766,421.006,7.22708,399.973,99.8355,6.8,6.9
Black_Peak,LI_15,Patch_1,-3.43843E-05,-1.69799E-11,-0.00011348,3.78802,0.0500071,15,"135,000",0.0202,420.091,420.192,7.20628,6.76443,421.234,7.22888,399.983,0.0500071,10.9,11
Black_Peak,LI_16,Patch_2,0.000474125,3.28825E-11,0.001389376,3.98181,3000.17,15,"961,250",0.02275,418.581,419.995,7.3621,6.82125,419.441,7.3814,399.791,3000.17,0.5,0.4
Black_Peak,LI_16,Patch_2,0.000479465,3.32529E-11,0.001405027,3.93492,2500.14,15,"961,250",0.02275,418.564,419.99,7.33869,6.79947,419.423,7.35817,400.01,2500.14,4.5,4.5
Black_Peak,LI_16,Patch_2,0.000567561,3.93627E-11,0.001663184,3.9044,1999.84,15,"961,250",0.02275,420.003,421.648,7.29483,6.75969,420.866,7.31465,400.089,1999.84,8.6,8.5
Black_Peak,LI_16,Patch_2,0.000465775,3.23034E-11,0.001364908,3.87846,1499.58,15,"961,250",0.02275,419.996,421.385,7.27875,6.74799,420.858,7.29869,399.996,1499.58,12.6,12.5
Black_Peak,LI_16,Patch_2,0.000516407,3.5815E-11,0.00151328,3.83398,1199.88,15,"961,250",0.02275,419.965,421.473,7.28878,6.77632,420.841,7.3077,399.942,1199.88,1.1,1.2
Black_Peak,LI_16,Patch_2,0.000501409,3.47748E-11,0.00146933,3.83728,899.866,15,"961,250",0.02275,420.004,421.464,7.24786,6.75997,420.881,7.26709,399.979,899.866,5.2,5.3
Black_Peak,LI_16,Patch_2,0.000487046,3.37787E-11,0.001427242,3.94888,600.028,15,"961,250",0.02275,420.009,421.433,7.23303,6.74483,420.886,7.25237,400.052,600.028,9.2,9.3
Black_Peak,LI_16,Patch_2,0.000419462,2.90914E-11,0.001229192,3.94952,299.797,15,"961,250",0.02275,419.982,421.226,7.24447,6.78224,420.859,7.26372,400.076,299.797,13.2,13.3
Black_Peak,LI_16,Patch_2,0.000115938,8.04077E-12,0.000339745,3.89377,99.9417,15,"961,250",0.02275,420.021,420.506,7.21187,6.75083,420.82,7.23131,399.859,99.9417,1.9,1.9
Black_Peak,LI_16,Patch_2,-0.000118269,-8.20242E-12,-0.000346575,3.88911,0.0500071,15,"961,250",0.02275,420.036,419.933,7.21104,6.75571,420.835,7.23048,400.037,0.0500071,6,6
Black_Peak,LI_17,Patch_3,0.000538496,5.47044E-11,0.000687076,3.92262,3000.4,15,"656,250",0.05225,419.97,421.55,7.32827,6.77678,420.687,7.34311,399.869,3000.4,2.9,3.2
Black_Peak,LI_17,Patch_3,0.000527195,5.35563E-11,0.000672657,3.88702,2500.17,15,"656,250",0.05225,419.973,421.521,7.29749,6.75318,420.69,7.31256,400.08,2500.17,7,7.2
Black_Peak,LI_17,Patch_3,0.000558402,5.67265E-11,0.000712474,3.89198,1999.85,15,"656,250",0.05225,420.082,421.706,7.28811,6.74954,420.8,7.30326,399.974,1999.85,11,11.2
Black_Peak,LI_17,Patch_3,0.000552557,5.61328E-11,0.000705017,3.84753,1500.13,15,"656,250",0.05225,419.969,421.571,7.31263,6.79085,420.686,7.32759,400.04,1500.13,15,15.2
